Date,Energy_kWh,Source_File,Data_Type
2024-05-20,55.50441,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-21,15.9867,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-22,48.369260000000004,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-23,46.24181,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-24,42.86232,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-25,37.85779,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-26,30.622439999999997,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-27,58.887730000000005,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-28,14.49512,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-29,64.94732,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-30,40.27025,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-05-31,21.53302,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-01,37.28416,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-02,45.439260000000004,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-03,15.240120000000001,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-04,48.119730000000004,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-05,60.2636,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-06,53.77889,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-07,42.58829,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-08,55.10479,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-09,46.784620000000004,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-10,28.702650000000002,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-11,23.38035,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-12,23.82042,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-13,30.55564,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-14,52.65259,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-15,50.03886,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-16,27.061529999999998,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-17,61.60582,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-18,62.79495,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-19,61.2535,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-20,52.78913,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-21,45.50371,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-22,37.21713,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-23,39.30735,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-24,60.926010000000005,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-25,48.38592,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-26,31.30857,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-27,50.67254,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-28,50.205510000000004,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-29,59.2409,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-06-30,57.52964,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-01,16.24242,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-02,31.37361,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-03,40.38896,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-07-04,48.71665,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-07-05,59.59356,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-07-06,55.05386,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-07-07,30.17932,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-08,51.47148,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-09,49.91789,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-07-10,50.84828,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-07-11,43.14126,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-12,43.78796,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-13,53.64819,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-14,58.88784,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-15,59.03436,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-16,55.75177,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-07-17,48.462540000000004,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-18,52.297309999999996,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-19,45.23917,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-20,26.135540000000002,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-21,61.2044,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-22,30.373060000000002,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-23,49.35546,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-24,45.91166,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-07-25,54.85895,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-07-26,59.48916,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-07-27,51.42243,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-28,35.56868,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-29,60.38033,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-30,60.522690000000004,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-07-31,56.2569,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-08-01,46.12318,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-08-02,35.43190,MTU-LEO-PS31_01072024-31122024.csv,daily
2024-08-03,52.06483,MTU-LEO-PS31_23012024-23012025.csv,5min_aggregated
2024-08-04,37.87685,MTU-LEO-PS31_01072024-31122024.csv,daily
